timestamp,label,conf,x1,y1,x2,y2,cx,cy,depth_rel
1760837812.111898,person,0.9300,213,230,493,479,353,354,
1760837812.111898,bottle,0.4011,19,241,48,313,33,277,
1760837812.111898,book,0.3576,568,363,638,396,603,379,
1760837812.111898,car,0.2965,0,201,94,251,47,226,
1760837812.111898,suitcase,0.2755,1,398,146,479,73,438,
1760837812.235622,person,0.9321,213,230,491,479,352,354,
1760837812.235622,book,0.3610,569,363,637,397,603,380,
1760837812.235622,suitcase,0.3229,0,397,148,479,74,438,
1760837812.3466225,person,0.9324,213,229,491,479,352,354,
1760837812.3466225,bottle,0.5390,20,240,47,313,33,276,
1760837812.3466225,suitcase,0.3548,0,396,148,479,74,437,
1760837812.3466225,cup,0.3253,113,232,146,276,129,254,
1760837812.3466225,bottle,0.3007,0,224,29,318,14,271,
1760837812.3466225,book,0.2861,569,363,637,396,603,379,
1760837812.3466225,person,0.2626,397,215,550,361,473,288,
1760837812.4454563,person,0.9344,212,229,492,479,352,354,
1760837812.4454563,suitcase,0.5700,0,396,146,479,73,437,
1760837812.4454563,cup,0.3435,113,232,146,283,129,257,
1760837812.4454563,bottle,0.3254,18,240,48,311,33,275,
1760837812.4454563,book,0.2892,569,363,636,397,602,380,
1760837812.4454563,oven,0.2569,0,202,240,417,120,309,
1760837812.5502422,person,0.9351,213,229,491,479,352,354,
1760837812.5502422,suitcase,0.3912,0,394,146,479,73,436,
1760837812.5502422,book,0.3231,569,363,637,396,603,379,
1760837812.5502422,person,0.2564,398,214,551,362,474,288,
1760837812.6520896,person,0.9403,213,229,490,479,351,354,
1760837812.6520896,book,0.3208,569,363,636,397,602,380,
1760837812.6520896,cup,0.2786,113,232,146,292,129,262,
1760837812.6520896,person,0.2726,398,213,552,365,475,289,
1760837812.6520896,suitcase,0.2519,0,394,146,479,73,436,
1760837812.747591,person,0.9375,213,229,491,479,352,354,
1760837812.747591,bottle,0.4105,20,240,48,313,34,276,
1760837812.747591,book,0.3347,569,363,636,396,602,379,
1760837812.747591,suitcase,0.2539,1,398,146,479,73,438,
1760837812.8417752,person,0.9362,213,229,491,479,352,354,
1760837812.8417752,bottle,0.4282,20,241,48,314,34,277,
1760837812.8417752,suitcase,0.3537,0,397,146,479,73,438,
1760837812.8417752,book,0.2653,569,363,637,396,603,379,
1760837812.93975,person,0.9397,213,229,491,479,352,354,
1760837812.93975,bottle,0.4433,20,240,49,314,34,277,
1760837812.93975,suitcase,0.3907,0,401,146,479,73,440,
1760837812.93975,book,0.3243,569,363,637,396,603,379,
1760837813.0387428,person,0.9327,213,229,491,479,352,354,
1760837813.0387428,book,0.3263,569,363,637,397,603,380,
1760837813.174841,person,0.9356,214,229,491,479,352,354,
1760837813.174841,cup,0.3515,113,232,146,293,129,262,
1760837813.174841,suitcase,0.3175,0,403,148,479,74,441,
1760837813.174841,book,0.2816,569,364,638,396,603,380,
1760837813.308699,person,0.9348,213,229,491,479,352,354,
1760837813.308699,suitcase,0.3634,0,397,146,479,73,438,
1760837813.308699,book,0.3487,569,364,636,396,602,380,
1760837813.4281757,person,0.9328,213,229,491,479,352,354,
1760837813.4281757,suitcase,0.4367,0,401,146,479,73,440,
1760837813.4281757,book,0.3097,569,364,637,396,603,380,
1760837813.4281757,cup,0.2989,114,232,146,282,130,257,
1760837813.5596683,person,0.9398,213,229,491,479,352,354,
1760837813.5596683,book,0.3138,568,363,638,396,603,379,
1760837813.5596683,suitcase,0.3050,1,394,146,479,73,436,
1760837813.5596683,bottle,0.2572,19,241,49,313,34,277,
1760837813.6872675,person,0.9340,213,229,491,479,352,354,
1760837813.6872675,suitcase,0.5022,0,394,146,479,73,436,
1760837813.6872675,book,0.2772,569,363,636,397,602,380,
1760837813.793746,person,0.9337,213,229,490,479,351,354,
1760837813.793746,book,0.3360,569,364,637,397,603,380,
1760837813.793746,suitcase,0.3116,0,400,146,479,73,439,
1760837813.793746,person,0.2588,400,215,551,362,475,288,
1760837813.9140673,person,0.9357,213,229,491,479,352,354,
1760837813.9140673,suitcase,0.3950,0,397,146,479,73,438,
1760837813.9140673,book,0.3265,569,363,636,396,602,379,
1760837813.9140673,car,0.2735,0,201,94,252,47,226,
1760837814.0230749,person,0.9377,213,229,490,479,351,354,
1760837814.0230749,bottle,0.3148,19,240,49,313,34,276,
1760837814.0230749,book,0.3094,569,363,637,397,603,380,
1760837814.0230749,cup,0.3043,114,232,146,288,130,260,
1760837814.0230749,suitcase,0.2508,1,395,146,479,73,437,
1760837814.1265223,person,0.9387,213,229,491,479,352,354,
1760837814.1265223,suitcase,0.2813,0,396,146,479,73,437,
1760837814.1265223,bottle,0.2667,18,239,49,314,33,276,
1760837814.2350218,person,0.9344,213,229,490,479,351,354,
1760837814.2350218,book,0.3271,569,363,637,396,603,379,
1760837814.2350218,suitcase,0.3128,0,402,146,479,73,440,
1760837814.2350218,cup,0.3026,113,232,146,275,129,253,
1760837814.2350218,bottle,0.2735,18,241,49,312,33,276,
1760837814.2350218,cup,0.2672,114,232,146,295,130,263,
